time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444100000	6.32717	0.734342	5.15908	0.0595874	0.0633862	lidar	3.10503	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.57686	0.76688	5.11023	0.0731155	0.0783172	radar	0.293238	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82443	0.762722	5.09914	0.0636339	0.0596472	lidar	0.247587	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06559	0.748405	4.95748	0.0489971	0.0353636	radar	2.3921	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.28175	0.827667	4.9112	0.0891453	0.0860685	lidar	2.2566	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57956	0.840731	5.14134	0.0863086	0.0767158	radar	5.22468	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.8327	0.817429	5.13327	0.0660551	0.0464039	lidar	0.666296	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08068	0.836236	5.01766	0.0691651	0.0469194	radar	2.23338	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.31767	0.850792	4.9967	0.0705088	0.0457722	lidar	0.262096	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59056	0.938485	5.20077	0.107032	0.0876818	radar	6.57891	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83111	0.994363	5.17554	0.125631	0.104819	lidar	0.584183	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12282	1.03407	5.24452	0.132417	0.106378	radar	6.81479	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36259	1.06506	5.21218	0.136665	0.10526	lidar	0.614698	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64356	1.13805	5.27966	0.157945	0.12405	radar	4.32443	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92183	1.26232	5.32539	0.201051	0.167468	lidar	2.98203	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1676	1.34981	5.17452	0.227028	0.189688	radar	4.92716	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3911	1.42848	5.13546	0.247065	0.202415	lidar	1.13849	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6203	1.50769	4.96634	0.267533	0.216552	radar	3.37908	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8414	1.53879	4.92507	0.26367	0.199464	lidar	1.0922	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1098	1.59102	5.03535	0.264183	0.187246	radar	2.26602	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3905	1.63905	5.08791	0.261808	0.173081	lidar	2.09747	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6204	1.69419	5.01473	0.267187	0.169777	radar	0.684246	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8488	1.75842	4.99323	0.275554	0.169712	lidar	0.266403	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1076	1.84924	5.12127	0.290786	0.176563	radar	1.53542	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.351	1.87969	5.09842	0.280063	0.15346	lidar	0.636246	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6085	1.9428	5.1872	0.281649	0.145263	radar	0.78185	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8102	2.07443	5.14343	0.319956	0.182072	lidar	3.27402	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0802	2.18532	5.29752	0.337297	0.190031	radar	2.91567	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2863	2.32487	5.25894	0.374044	0.222305	lidar	2.62366	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4618	2.46254	5.02099	0.414879	0.26153	radar	11.1955	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7122	2.58013	5.06325	0.431788	0.265935	lidar	0.918421	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9317	2.69013	5.02906	0.448115	0.270164	radar	0.17676	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1611	2.84519	5.06664	0.480347	0.292	lidar	0.726484	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4129	2.9599	5.20406	0.485754	0.277869	radar	1.32369	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6187	3.03156	5.1294	0.48136	0.256683	lidar	2.22701	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8515	3.18904	5.23239	0.507008	0.269738	radar	3.56957	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0627	3.38238	5.26378	0.550221	0.30439	lidar	1.13132	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2729	3.54731	5.19265	0.581353	0.326149	radar	2.7246	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4884	3.73592	5.23396	0.615772	0.347165	lidar	0.627378	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6987	3.86971	5.20101	0.626255	0.339726	radar	1.00342	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9204	4.01306	5.20725	0.636551	0.331947	lidar	0.188963	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1154	4.16955	5.09294	0.660157	0.344727	radar	1.63732	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.312	4.36558	5.13097	0.692819	0.362567	lidar	0.42927	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5228	4.53015	5.17107	0.706275	0.355979	radar	0.646585	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6995	4.6966	5.14459	0.726832	0.359169	lidar	0.510073	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8535	4.87308	4.9353	0.763409	0.390381	radar	3.75772	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0153	5.10142	4.98679	0.806976	0.418113	lidar	0.837096	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.187	5.26243	4.94599	0.820949	0.411149	radar	1.47116	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3428	5.4453	4.93411	0.844183	0.414208	lidar	0.155677	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5011	5.60286	4.86084	0.857661	0.407954	radar	2.79242	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6889	5.72847	4.81239	0.84916	0.374869	lidar	1.29924	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8365	5.91229	4.74645	0.874626	0.386384	radar	0.671334	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0068	6.11162	4.79079	0.893864	0.386443	lidar	0.933882	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1598	6.31477	4.83499	0.915789	0.3883	radar	0.880714	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2802	6.56192	4.88963	0.960315	0.417016	lidar	0.92941	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4145	6.77031	4.8801	0.985698	0.423627	radar	0.275598	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5591	6.90697	4.78674	0.981381	0.394474	lidar	1.40563	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.71	7.11493	4.87831	0.992855	0.380211	radar	0.796734	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9047	7.25757	4.83583	0.972777	0.336083	lidar	3.67745	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9966	7.44686	4.68417	1.00602	0.361917	radar	3.62657	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0857	7.72309	4.77882	1.05832	0.400821	lidar	1.78423	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2086	7.9272	4.79817	1.07242	0.392089	radar	0.266627	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2865	8.14839	4.78671	1.1059	0.407416	lidar	1.30594	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3867	8.35809	4.81667	1.12253	0.398706	radar	2.16361	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4807	8.50208	4.6845	1.12477	0.378261	lidar	3.16442	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5748	8.70377	4.63791	1.14467	0.381778	radar	0.442719	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7336	8.88406	4.62653	1.13311	0.348017	lidar	4.02435	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8112	9.0974	4.56667	1.16228	0.366298	radar	0.928043	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9378	9.33568	4.63999	1.17437	0.360151	lidar	3.3512	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.989	9.5445	4.51865	1.21213	0.391339	radar	2.37137	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0722	9.79628	4.59301	1.23905	0.400081	lidar	1.10636	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.134	10.0483	4.68644	1.26726	0.405091	radar	7.40245	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1797	10.3345	4.78909	1.30965	0.430052	lidar	1.19294	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1987	10.5632	4.69642	1.35389	0.464712	radar	2.94016	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.254	10.8485	4.80419	1.38567	0.4747	lidar	2.22269	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2818	11.1097	4.86283	1.41725	0.481031	radar	4.90209	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.316	11.3496	4.86172	1.44109	0.480789	lidar	0.000116518	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2669	11.5881	4.71565	1.51236	0.553442	radar	10.6562	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3367	11.8303	4.73775	1.51837	0.530404	lidar	4.74492	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3607	12.0678	4.82324	1.52601	0.49397	radar	3.70465	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3436	12.367	4.93977	1.56748	0.512285	lidar	1.11565	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2966	12.5992	4.83011	1.62279	0.56158	radar	3.28943	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3221	12.8363	4.81942	1.63455	0.544285	lidar	1.83169	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3127	13.0618	4.77824	1.6588	0.543418	radar	2.07006	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2794	13.2701	4.72022	1.68723	0.544496	lidar	0.942294	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2423	13.5028	4.73652	1.71338	0.538877	radar	1.30016	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2177	13.7694	4.80055	1.73714	0.535804	lidar	1.38462	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1653	13.9914	4.75322	1.77191	0.550475	radar	0.836479	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1059	14.2545	4.82049	1.80346	0.555009	lidar	0.421828	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0348	14.4822	4.81681	1.83499	0.557915	radar	1.38029	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9212	14.7468	4.9083	1.88072	0.576931	lidar	1.2379	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8553	14.9627	4.89018	1.89795	0.554867	radar	3.36672	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8284	15.1739	4.81791	1.90586	0.534072	lidar	2.13357	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7029	15.3756	4.70501	1.9772	0.618399	radar	7.92288	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6805	15.5523	4.57556	1.98305	0.592005	lidar	3.16779	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5932	15.7492	4.55326	2.00832	0.584267	radar	1.22962	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4841	15.9704	4.59407	2.03972	0.586631	lidar	0.106008	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3854	16.1751	4.61135	2.05617	0.559774	radar	1.77721	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.276	16.3529	4.56264	2.08622	0.561826	lidar	0.44197	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1628	16.5445	4.54814	2.11547	0.564824	radar	0.226991	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0235	16.7672	4.6248	2.14655	0.567843	lidar	0.358913	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8678	16.9591	4.62422	2.20489	0.627261	radar	6.77916	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6783	17.2151	4.81396	2.24238	0.633568	lidar	2.11318	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5773	17.4172	4.79715	2.22829	0.550018	radar	5.91242	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3533	17.6217	4.91755	2.27681	0.571054	lidar	3.79335	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2153	17.8147	4.9104	2.28114	0.524841	radar	2.36478	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0873	17.9961	4.86175	2.29746	0.515019	lidar	0.954489	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9127	18.1497	4.82553	2.34005	0.544456	radar	2.00363	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7923	18.2806	4.6893	2.36113	0.538532	lidar	1.05773	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6632	18.4573	4.65703	2.36879	0.511765	radar	6.63359	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4584	18.6489	4.7604	2.39742	0.514611	lidar	0.572236	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2808	18.7876	4.72857	2.43188	0.529329	radar	1.73573	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1243	18.9193	4.65995	2.45652	0.527651	lidar	0.254328	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9569	19.0898	4.67442	2.46887	0.507558	radar	3.0878	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7369	19.2083	4.69211	2.50927	0.522588	lidar	2.70314	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5441	19.3643	4.72731	2.53284	0.523161	radar	3.26017	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3071	19.5354	4.85093	2.55828	0.521836	lidar	0.809885	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0861	19.6175	4.81724	2.60823	0.55582	radar	10.0942	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8778	19.7634	4.85229	2.62845	0.548033	lidar	0.730743	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6929	19.8848	4.78543	2.63496	0.506657	radar	3.29014	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4524	20.0447	4.89813	2.65238	0.497847	lidar	1.18608	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2335	20.1922	4.93911	2.66326	0.477823	radar	5.59575	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.053	20.3169	4.88447	2.67597	0.46712	lidar	1.97737	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8214	20.4008	4.88566	2.71237	0.485971	radar	2.11492	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6077	20.5179	4.88918	2.72951	0.478834	lidar	0.619395	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3657	20.609	4.93153	2.764	0.499377	radar	1.20228	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.121	20.6815	4.94207	2.79603	0.506327	lidar	0.670215	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8798	20.7558	4.96585	2.82996	0.523356	radar	0.343568	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6016	20.8215	5.03717	2.86366	0.530175	lidar	1.47084	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3481	20.856	5.0694	2.9141	0.573518	radar	2.41529	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1091	20.8922	5.0371	2.94774	0.578881	lidar	0.223492	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8753	20.9516	5.01685	2.96945	0.57008	radar	1.80398	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6937	20.9853	4.88178	2.99509	0.569374	lidar	2.17563	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.435	21.029	4.93195	3.02223	0.569874	radar	2.51995	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1903	21.065	4.93786	3.04719	0.566191	lidar	0.121535	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.951	21.085	4.93921	3.07809	0.573659	radar	0.982042	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7159	21.0523	4.89066	3.12268	0.59077	lidar	1.96745	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4683	21.0389	4.89323	3.15812	0.59774	radar	1.09269	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2626	21.0283	4.81343	3.18923	0.600641	lidar	0.688012	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0061	20.9905	4.84295	3.22823	0.610481	radar	4.17012	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8058	20.9491	4.75557	3.26627	0.620187	lidar	0.507453	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5631	20.9443	4.6962	3.27627	0.581775	radar	5.4672	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2665	20.9779	4.83966	3.27576	0.547559	lidar	3.56334	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0305	20.958	4.82759	3.29627	0.538737	radar	1.01641	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.85019	20.9152	4.7114	3.32872	0.547082	lidar	1.49989	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.62937	20.9	4.60748	3.33444	0.508802	radar	2.13276	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.4438	20.8481	4.52756	3.36573	0.516642	lidar	0.601933	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.23295	20.8022	4.52168	3.39124	0.518829	radar	1.39482	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.91354	20.7794	4.72065	3.39154	0.487837	lidar	3.05844	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70736	20.6978	4.69048	3.42805	0.503403	radar	4.27413	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41174	20.6193	4.83408	3.44721	0.494155	lidar	3.06272	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.18346	20.5396	4.84456	3.47516	0.499588	radar	0.0643378	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93427	20.4608	4.88612	3.49572	0.494131	lidar	0.153384	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71727	20.3755	4.91173	3.52648	0.508548	radar	3.37727	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.3852	20.3204	5.10537	3.51936	0.470638	lidar	3.18314	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.14859	20.2262	5.08317	3.53937	0.463146	radar	0.262675	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.87962	20.1424	5.14659	3.54992	0.448797	lidar	0.402757	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.65268	20.0522	5.09908	3.56587	0.438121	radar	0.601573	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.40701	19.9592	5.12133	3.58007	0.429731	lidar	0.191538	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.19043	19.8664	5.08567	3.59797	0.426612	radar	2.99036	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.92557	19.7718	5.14856	3.60505	0.410618	lidar	0.497417	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.68322	19.6291	5.24547	3.63747	0.43156	radar	1.67018	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.52834	19.5024	5.10558	3.67465	0.450599	lidar	1.9495	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.3256	19.3542	5.09821	3.70705	0.463068	radar	1.8123	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.12019	19.2511	5.06159	3.72059	0.453832	lidar	2.00861	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94074	19.1381	4.92863	3.73685	0.441018	radar	4.67544	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78975	18.9883	4.8437	3.77445	0.459406	lidar	0.697229	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.57563	18.8382	4.93301	3.79729	0.463945	radar	1.58913	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.40416	18.707	4.87879	3.81974	0.464444	lidar	1.08292	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.23346	18.5634	4.78402	3.84031	0.456378	radar	1.16134	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.11851	18.4117	4.67088	3.8806	0.477996	lidar	1.57444	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452650000	3.92044	18.2396	4.89015	3.90997	0.49774	radar	7.34178	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
